file,title,artist,composer,lyricist,album,date
"Sitamgar - Pyar Jab Na Diya Zindagi Ne.mp3","Pyar Jab Na Diya - JioSongs.com","Kishore Kumar","JioSongs.com","N/A","Sitamgar (1985)","1985"
"Sitamgar - Tum Dilwalon Ke Aage.mp3","Tum Dil Walon Ke Aage - JioSongs.com","Kishore Kumar  Lata Mangeshkar","JioSongs.com","N/A","Sitamgar (1985)","1985"
"SKM-Chand Ke Paas Jo.mp3","Chand Ke Paas Jo Sitara Hai - www.hotmentos.com","Kishore Kumar   Lata Mangeshkar","www.hotmentos.com","N/A","Sweekar Kiya Maine","1982"
"SN-Leena O Leena.mp3","Leena O Leena - www.hotmentos.com","Kishore Kumar","www.hotmentos.com","N/A","Swarag Narak","1978"
"SN-Nahin Nahin Koi.mp3","Nahin Nahin Koi Tumsa Haseen - www.hotmentos.com","Kishore Kumar   Asha Bhosle","www.hotmentos.com","N/A","Swarag Narak","1978"
"Sob-Sokhire-Par-Korite_Sujon-Sokhi-1975.mp3","Sob Sokhire Par Korite || www.mp3haat.com","Abdul Alim  Sabina Yasmin","N/A","N/A","Sujon Sokhi (1975)","1975"
"Sob-Sokhire-Par-Korite_Sujon-Sokhi-1994.mp3","Sob Sokhire Par Korite || www.mp3haat.com","Andrew Kishore  Sabina Yasmin","N/A","N/A","Sujon Sokhi (1994)","1994"
"Soch-Na-Sake_[Mp3Haat.Com].mp3","Soch Na Sake By Arijit Singh || www.mp3haat.com","Arijit Singh","Mp3Haat.Com","N/A","Mp3Haat.Com","2020"
"sohena-jatona-alka-and-babul.mp3","Sohena Jatona || www.mp3haat.com","Alka Yagnik & Babul Supriyo","N/A","N/A","Mone Robe","2011"
"Sohena Jatona.mp3","N/A","Unknown Artist","N/A","N/A","N/A","N/A"
"Sokal Hote Na Hote-BarmanMusic.Com.mp3","Sokal Hote Na Hote-BarmanMusic.Com","Mohammed Aziz  Kavita Krishnamurti","BarmanMusic.Com","N/A","Bengali Movie Songs Mohammed Aziz Hits Mp3 - BarmanMusic.Com","2023"
"Soldier Soldier Meethi Baaten Kumar Sanu 128 Kbps.mp3","Soldier Soldier Meethi Baaten - PagalNew ","Kumar Sanu  Alka Yagnik","Anu Malik","N/A","Soldier","1998"
"Sonamoni Chara [128 Kbps]-(Pagalworld.gay).mp3","Sonamoni Chara-(Fun2Desi.Com)","Asha Bhosle","Fun2Desi.Com","N/A","Pratikar (1987) - Fun2Desi.Com","2023"
"Soneete-Aaj-Amra-Mohammed-Aziz-Shabina-Yasmeen.mp3","N/A","Unknown Artist","N/A","N/A","N/A","N/A"
"Sono-Sono-Aaj-Keno(MrSong.In).mp3","Sono Sono Aaj Keno(MrSong.In)","DJSongi.Com","DJSongi.Com","N/A","Choto Bou (1988) - DJSongi.Com","2020"
"Sooraavali-Ponnu-MassTamilan.fm.mp3","Sooraavali Ponnu - MassTamilan.fm","A.R. Ameen - MassTamilan.fm","A.R.Rahman - MassTamilan.fm","N/A","Galatta Kalyaanam - MassTamilan.fm","N/A"
"Sooraj-Hua-Madham-[Mp3Haat.Com] (1).mp3","Sooraj Hua Madham By Sandesh Shandilya  Sonu Nigam  Alka Yagnik || www.mp3haat.com","Sandesh Shandilya  Sonu Nigam  Alka Yagnik","Mp3Haat.Com","N/A","Mp3Haat.Com","2018"
"Sooraj-Hua-Madham-[Mp3Haat.Com].mp3","Sooraj Hua Madham By Sandesh Shandilya  Sonu Nigam  Alka Yagnik || www.mp3haat.com","Sandesh Shandilya  Sonu Nigam  Alka Yagnik","Mp3Haat.Com","N/A","Mp3Haat.Com","2018"
"Sotobar-Prithibite-Asbo-Ami_E-Jibon-Tomar-Amar.mp3","Sotobar Prithibite Asbo Ami || www.mp3haat.com","Kumar Sanu  Mitali Mukherjee","N/A","N/A","E Jibon Tomar Amar (1997)","1997"
"Souten Ki Beti-Kaun Sunega.mp3","Kaun Sunega - www.hotmentos.com","Kishore Kumar","www.hotmentos.com","N/A","Souten Ki Beti","1989"
